INFO:root:K: 3, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 3, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 3, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 3, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 10, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 10, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 10, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 10, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 10, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 10, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:best_K: 0.01, best_steps: 5, best_psnr: 45.50507769171028, best_mse: 183864.4766061913
INFO:root:K: 0.01, Steps: 5, PSNR: 28.677943373042968, MSE: 29457713.30299009
INFO:root:K: 0.01, Steps: 10, PSNR: 28.678075923237927, MSE: 29459449.985685278
INFO:root:K: 0.01, Steps: 50, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.01, Steps: 100, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.01, Steps: 150, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.01, Steps: 200, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.02, Steps: 5, PSNR: 28.677943373042968, MSE: 29457713.30299009
INFO:root:K: 0.02, Steps: 10, PSNR: 28.678075923237927, MSE: 29459449.985685278
INFO:root:K: 0.02, Steps: 50, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.02, Steps: 100, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.02, Steps: 150, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.02, Steps: 200, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.05, Steps: 5, PSNR: 28.677943373042968, MSE: 29457713.30299009
INFO:root:K: 0.05, Steps: 10, PSNR: 28.678075923237927, MSE: 29459449.985685278
INFO:root:K: 0.05, Steps: 50, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.05, Steps: 100, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.05, Steps: 150, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.05, Steps: 200, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.1, Steps: 5, PSNR: 28.677943373042968, MSE: 29457713.30299009
INFO:root:K: 0.1, Steps: 10, PSNR: 28.678075923237927, MSE: 29459449.985685278
INFO:root:K: 0.1, Steps: 50, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.1, Steps: 100, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.1, Steps: 150, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.1, Steps: 200, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.2, Steps: 5, PSNR: 28.677943373042968, MSE: 29457713.30299009
INFO:root:K: 0.2, Steps: 10, PSNR: 28.678075923237927, MSE: 29459449.985685278
INFO:root:K: 0.2, Steps: 50, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.2, Steps: 100, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.2, Steps: 150, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.2, Steps: 200, PSNR: 28.677962661812355, MSE: 29462818.633657657
INFO:root:K: 0.5, Steps: 5, PSNR: 28.677910236126337, MSE: 29456262.407404173
INFO:root:K: 0.5, Steps: 10, PSNR: 28.678042785309916, MSE: 29457999.05798906
INFO:root:K: 0.5, Steps: 50, PSNR: 28.677929524748546, MSE: 29461367.463469375
INFO:root:K: 0.5, Steps: 100, PSNR: 28.677929524748546, MSE: 29461367.463469375
INFO:root:K: 0.5, Steps: 150, PSNR: 28.677929524748546, MSE: 29461367.463469375
INFO:root:K: 0.5, Steps: 200, PSNR: 28.677929524748546, MSE: 29461367.463469375
INFO:root:K: 1, Steps: 5, PSNR: 28.683478311868853, MSE: 29294896.2723764
INFO:root:K: 1, Steps: 10, PSNR: 28.683587260197303, MSE: 29296121.5870373
INFO:root:K: 1, Steps: 50, PSNR: 28.683630345063136, MSE: 29302326.656066254
INFO:root:K: 1, Steps: 100, PSNR: 28.683630345063136, MSE: 29302326.656066254
INFO:root:K: 1, Steps: 150, PSNR: 28.683630345063136, MSE: 29302326.656066254
INFO:root:K: 1, Steps: 200, PSNR: 28.683630345063136, MSE: 29302326.656066254
INFO:root:K: 2, Steps: 5, PSNR: 28.70888313605747, MSE: 29809786.87584171
INFO:root:K: 2, Steps: 10, PSNR: 28.71046644615538, MSE: 29804409.23125476
INFO:root:K: 2, Steps: 50, PSNR: 28.707529460171855, MSE: 29862513.34407382
INFO:root:K: 2, Steps: 100, PSNR: 28.707529460171855, MSE: 29862513.34407382
INFO:root:K: 2, Steps: 150, PSNR: 28.707529460171855, MSE: 29862513.34407382
INFO:root:K: 2, Steps: 200, PSNR: 28.707529460171855, MSE: 29862513.34407382
INFO:root:K: 3, Steps: 5, PSNR: 28.75312045427186, MSE: 30611978.27263235
INFO:root:K: 3, Steps: 10, PSNR: 28.761703270832477, MSE: 30722907.962054558
INFO:root:K: 3, Steps: 50, PSNR: 28.75858381070116, MSE: 30790830.874837697
INFO:root:K: 3, Steps: 100, PSNR: 28.7587939220707, MSE: 30783441.14510622
INFO:root:K: 3, Steps: 150, PSNR: 28.7587939220707, MSE: 30783441.14510622
INFO:root:K: 3, Steps: 200, PSNR: 28.7587939220707, MSE: 30783441.14510622
INFO:root:K: 10, Steps: 5, PSNR: 28.83138964878212, MSE: 35818391.14539126
INFO:root:K: 10, Steps: 10, PSNR: 28.631745183244433, MSE: 40782692.84752233
